Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Greenland,GRL,"Population, total",SP.POP.TOTL,56200,56350,56609,56765,56911,56935,56774,56555,56328,56323,56905,56890,56810,56483
Guatemala,GTM,"Population, total",SP.POP.TOTL,11204183,11478984,11765738,12062835,12367800,12678919,12995374,13317931,13648307,13988988,14341576,14706578,15082831,15468203
Guam,GUM,"Population, total",SP.POP.TOTL,155328,156417,157241,157823,158194,158401,158429,158331,158310,158621,159440,160858,162810,165124
Guyana,GUY,"Population, total",SP.POP.TOTL,744471,747657,750629,753612,756939,760834,765367,770407,775739,781055,786126,790882,795369,799613
High income,HIC,"Population, total",SP.POP.TOTL,1210722389,1217620409,1224650076,1231471834,1238504946,1245729415,1253347579,1261583270,1270490043,1278436600,1286180984,1294235716,1299489520,1306132071
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,6665000,6714300,6744100,6730800,6783500,6813200,6857100,6916300,6957800,6972800,7024200,7071600,7154600,7187500
Honduras,HND,"Population, total",SP.POP.TOTL,6235561,6365040,6495801,6628171,6762426,6898825,7037428,7178436,7322368,7469844,7621204,7776669,7935846,8097688
Heavily indebted poor countries (HIPC),HPC,"Population, total",SP.POP.TOTL,472726491,485905201,499547326,513621158,528066010,542837993,557936978,573385048,589184942,605342064,621860240,638737676,655971763,673564609
Croatia,HRV,"Population, total",SP.POP.TOTL,4426000,4440000,4440000,4440000,4439000,4442000,4440000,4436000,4434508,4429078,4417781,4280622,4267558,4252700
Haiti,HTI,"Population, total",SP.POP.TOTL,8578234,8720247,8859635,8996229,9129933,9260879,9388642,9513714,9638255,9765153,9896400,10032864,10173775,10317461
Hungary,HUN,"Population, total",SP.POP.TOTL,10210971,10187576,10158608,10129552,10107146,10087065,10071370,10055780,10038188,10022650,10000023,9971727,9920362,9897247
Indonesia,IDN,"Population, total",SP.POP.TOTL,208938698,211970371,215038285,218145617,221293797,224480901,227709821,230972808,234243489,237486894,240676485,243801639,246864191,249865631
Isle of Man,IMN,"Population, total",SP.POP.TOTL,76806,77616,78338,79001,79658,80345,81068,81812,82561,83293,83992,84654,85284,85888
India,IND,"Population, total",SP.POP.TOTL,1042261758,1059500888,1076705723,1093786762,1110626108,1127143548,1143289350,1159095250,1174662334,1190138069,1205624648,1221156319,1236686732,1252139596
Ireland,IRL,"Population, total",SP.POP.TOTL,3805174,3866243,3931947,3996521,4070262,4159914,4274137,4398942,4489544,4535375,4560155,4576794,4586897,4595281
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,65911052,66857624,67727274,68543171,69342126,70152384,70976584,71809219,72660887,73542954,74462314,75424285,76424443,77447168
Iraq,IRQ,"Population, total",SP.POP.TOTL,23801156,24516842,25238267,25959531,26673536,27377045,28064095,28740630,29429829,30163199,30962380,31760020,32578209,33417476
Iceland,ISL,"Population, total",SP.POP.TOTL,281205,284968,287523,289521,292074,296734,303782,311566,317414,318499,318041,319014,320716,323002
Israel,ISR,"Population, total",SP.POP.TOTL,6289000,6439000,6570000,6689700,6809000,6930100,7053700,7180100,7308800,7485600,7623600,7765800,7910500,8059400
Italy,ITA,"Population, total",SP.POP.TOTL,56942108,56974100,57059007,57313203,57685327,57969484,58143979,58438310,58826731,59095365,59277417,59379449,59539717,59831093
